Entity,Code,Year,Fertility_Rate,Continent,GDP,Religion,Sex_Ratio
Afghanistan,AFG,1991,7.48,Asia,881.17,Islam,105.99117009999999
Afghanistan,AFG,1992,7.5,Asia,843.88,Islam,106.0075723
Afghanistan,AFG,1993,7.54,Asia,578.4,Islam,106.0598875
Afghanistan,AFG,1994,7.57,Asia,428.42,Islam,106.10894270000001
Afghanistan,AFG,1995,7.61,Asia,632.94,Islam,106.19504950000001
Afghanistan,AFG,1996,7.63,Asia,600.18,Islam,106.33761659999999
Afghanistan,AFG,1997,7.64,Asia,570.6,Islam,106.48429979999999
Afghanistan,AFG,1998,7.62,Asia,545.04,Islam,106.64904409999998
Afghanistan,AFG,1999,7.57,Asia,518.66,Islam,106.7451669
Afghanistan,AFG,2000,7.49,Asia,502.37,Islam,106.77433159999998
Afghanistan,AFG,2001,7.39,Asia,489.68,Islam,106.78195559999999
Afghanistan,AFG,2002,7.27,Asia,796.82,Islam,106.81534679999999
Afghanistan,AFG,2003,7.14,Asia,842.81,Islam,106.7746678
Afghanistan,AFG,2004,6.99,Asia,869.04,Islam,106.6956729
Afghanistan,AFG,2005,6.83,Asia,964.41,Islam,106.65271909999998
Afghanistan,AFG,2006,6.65,Asia,1057.1,Islam,106.62009440000001
Afghanistan,AFG,2007,6.46,Asia,1260.0,Islam,106.5773908
Afghanistan,AFG,2008,6.25,Asia,1319.61,Islam,106.5556227
Afghanistan,AFG,2009,6.04,Asia,1557.32,Islam,106.48979720000001
Afghanistan,AFG,2010,5.82,Asia,1627.67,Islam,106.38222150000001
Afghanistan,AFG,2011,5.6,Asia,1792.0,Islam,106.28882879999999
Afghanistan,AFG,2012,5.38,Asia,1945.0,Islam,106.186539
Afghanistan,AFG,2013,5.17,Asia,2025.0,Islam,106.09519350000001
Afghanistan,AFG,2014,4.98,Asia,2022.0,Islam,106.07589159999999
Afghanistan,AFG,2015,4.8,Asia,1928.0,Islam,106.07581840000002
Afghanistan,AFG,2016,4.64,Asia,1929.0,Islam,106.0109398
Afghanistan,AFG,2017,4.48,Asia,2014.75,Islam,105.94421940000001
Afghanistan,AFG,2018,4.33,Asia,1934.56,Islam,
Afghanistan,AFG,2019,4.18,Asia,,Islam,
Albania,ALB,1932,3.36,Europe,,Islam,
Albania,ALB,1933,3.57,Europe,,Islam,
Albania,ALB,1934,3.78,Europe,,Islam,
Albania,ALB,1935,3.98,Europe,,Islam,
Albania,ALB,1936,4.19,Europe,,Islam,
Albania,ALB,1937,4.4,Europe,,Islam,
Albania,ALB,1938,4.61,Europe,,Islam,
Albania,ALB,1939,3.75,Europe,,Islam,
Albania,ALB,1940,4.21,Europe,,Islam,
Albania,ALB,1941,3.77,Europe,,Islam,
Albania,ALB,1942,4.43,Europe,,Islam,
Albania,ALB,1943,4.61,Europe,,Islam,
Albania,ALB,1944,4.79,Europe,,Islam,
Albania,ALB,1945,4.96,Europe,,Islam,
Albania,ALB,1946,5.14,Europe,,Islam,
Albania,ALB,1947,5.33,Europe,,Islam,
Albania,ALB,1948,5.51,Europe,,Islam,
Albania,ALB,1949,5.69,Europe,,Islam,
Albania,ALB,1950,5.87,Europe,1596.0,Islam,105.8705587
Albania,ALB,1951,5.97,Europe,1666.0,Islam,105.8685744
Albania,ALB,1952,6.13,Europe,1667.0,Islam,105.88805690000001
Albania,ALB,1953,6.27,Europe,1736.0,Islam,105.89491840000001
Albania,ALB,1954,6.37,Europe,1785.0,Islam,105.922537
Albania,ALB,1955,6.45,Europe,1882.0,Islam,105.9241649
Albania,ALB,1956,6.5,Europe,1902.0,Islam,105.9409617
Albania,ALB,1957,6.53,Europe,2023.0,Islam,105.94949059999999
Albania,ALB,1958,6.54,Europe,2114.0,Islam,105.95997709999999
Albania,ALB,1959,6.53,Europe,2201.0,Islam,105.97263149999999
Albania,ALB,1960,6.49,Europe,2313.0,Islam,105.9686852
Albania,ALB,1961,6.4,Europe,2332.0,Islam,105.9983723
Albania,ALB,1962,6.28,Europe,2409.0,Islam,106.01915690000001
Albania,ALB,1963,6.13,Europe,2491.0,Islam,106.0346254
Albania,ALB,1964,5.96,Europe,2576.0,Islam,106.04661999999999
Albania,ALB,1965,5.77,Europe,2670.0,Islam,106.07692220000001
Albania,ALB,1966,5.58,Europe,2770.0,Islam,106.1071313
Albania,ALB,1967,5.39,Europe,2876.0,Islam,106.1375248
Albania,ALB,1968,5.22,Europe,2979.0,Islam,106.1803759
Albania,ALB,1969,5.06,Europe,3080.0,Islam,106.23277399999999
Albania,ALB,1970,4.91,Europe,3194.0,Islam,106.2782395
Albania,ALB,1971,4.78,Europe,3322.0,Islam,106.4674049
Albania,ALB,1972,4.64,Europe,3451.0,Islam,106.55527749999999
Albania,ALB,1973,4.51,Europe,3623.0,Islam,106.6459781
Albania,ALB,1974,4.37,Europe,3637.0,Islam,106.75654009999998
Albania,ALB,1975,4.24,Europe,3649.0,Islam,106.86398659999999
Albania,ALB,1976,4.1,Europe,3665.0,Islam,107.00004820000001
Albania,ALB,1977,3.97,Europe,3681.0,Islam,107.1510088
Albania,ALB,1978,3.84,Europe,3696.0,Islam,107.3161678
Albania,ALB,1979,3.73,Europe,3716.0,Islam,107.8394376
Albania,ALB,1980,3.62,Europe,3741.0,Islam,108.53472430000001
Albania,ALB,1981,3.53,Europe,3762.0,Islam,108.6682341
Albania,ALB,1982,3.45,Europe,3783.0,Islam,108.5959278
Albania,ALB,1983,3.38,Europe,3805.0,Islam,108.64214650000001
Albania,ALB,1984,3.32,Europe,3826.0,Islam,108.10276809999999
Albania,ALB,1985,3.27,Europe,3846.0,Islam,107.91006759999999
Albania,ALB,1986,3.22,Europe,3870.0,Islam,108.02001909999998
Albania,ALB,1987,3.16,Europe,3894.0,Islam,108.0187713
Albania,ALB,1988,3.11,Europe,3920.0,Islam,107.93617240000002
Albania,ALB,1989,3.05,Europe,3948.0,Islam,107.94563970000002
Albania,ALB,1990,2.98,Europe,3983.0,Islam,108.2304831
Albania,ALB,1991,2.91,Europe,2942.1,Islam,108.76829939999999
Albania,ALB,1992,2.83,Europe,2841.77,Islam,108.6610527
Albania,ALB,1993,2.75,Europe,3137.02,Islam,108.5963055
Albania,ALB,1994,2.67,Europe,3399.71,Islam,108.5797507
Albania,ALB,1995,2.59,Europe,3666.65,Islam,108.624587
Albania,ALB,1996,2.51,Europe,3965.69,Islam,108.8083865
Albania,ALB,1997,2.42,Europe,3526.99,Islam,109.1655267
Albania,ALB,1998,2.33,Europe,3873.37,Islam,109.6179694
Albania,ALB,1999,2.25,Europe,4432.04,Islam,109.923593
Albania,ALB,2000,2.16,Europe,4808.48,Islam,110.2957842
Albania,ALB,2001,2.07,Europe,5285.81,Islam,110.9212913
Albania,ALB,2002,1.98,Europe,5608.96,Islam,111.5625328
Albania,ALB,2003,1.9,Europe,6004.65,Islam,111.92689320000001
Albania,ALB,2004,1.82,Europe,6419.87,Islam,112.3669852
Albania,ALB,2005,1.75,Europe,6858.47,Islam,112.58699990000001
Albania,ALB,2006,1.7,Europe,7347.33,Islam,112.68224209999998
Albania,ALB,2007,1.67,Europe,7866.16,Islam,112.530575
Albania,ALB,2008,1.65,Europe,8522.13,Islam,112.17140249999999
Albania,ALB,2009,1.65,Europe,8859.47,Islam,111.815262
Albania,ALB,2010,1.65,Europe,9222.97,Islam,111.2933199
Albania,ALB,2011,1.67,Europe,9484.0,Islam,110.5573433
Albania,ALB,2012,1.69,Europe,9592.0,Islam,110.03708259999999
Albania,ALB,2013,1.7,Europe,9660.0,Islam,109.66811709999999
Albania,ALB,2014,1.71,Europe,9808.0,Islam,109.368622
Albania,ALB,2015,1.71,Europe,10032.0,Islam,109.0617355
Albania,ALB,2016,1.71,Europe,10342.0,Islam,108.69223629999999
Albania,ALB,2017,1.71,Europe,10702.12,Islam,108.3498048
Albania,ALB,2018,1.71,Europe,11104.17,Islam,
Albania,ALB,2019,1.7,Europe,,Islam,
Algeria,DZA,1950,7.49,Africa,2176.0,Islam,104.70677509999999
Algeria,DZA,1951,7.47,Africa,2147.0,Islam,104.7077233
Algeria,DZA,1952,7.44,Africa,2193.0,Islam,104.70040350000001
Algeria,DZA,1953,7.43,Africa,2182.0,Islam,104.71349029999999
Algeria,DZA,1954,7.41,Africa,2291.0,Islam,104.7179878
Algeria,DZA,1955,7.41,Africa,2303.0,Islam,104.7249237
Algeria,DZA,1956,7.41,Africa,2475.0,Islam,104.72810390000001
Algeria,DZA,1957,7.43,Africa,2699.0,Islam,104.73111850000001
Algeria,DZA,1958,7.45,Africa,2740.0,Islam,104.7457385
Algeria,DZA,1959,7.48,Africa,3178.0,Islam,104.7543417
Algeria,DZA,1960,7.52,Africa,3328.0,Islam,104.75201109999999
Algeria,DZA,1961,7.57,Africa,2868.0,Islam,104.77463929999999
Algeria,DZA,1962,7.61,Africa,2284.0,Islam,104.76998359999999
Algeria,DZA,1963,7.65,Africa,2818.0,Islam,104.78879609999998
Algeria,DZA,1964,7.67,Africa,2879.0,Islam,104.8068442
Algeria,DZA,1965,7.68,Africa,2981.0,Islam,104.79835190000001
Algeria,DZA,1966,7.68,Africa,2750.0,Islam,104.81781409999999
Algeria,DZA,1967,7.67,Africa,2907.0,Islam,104.8351661
Algeria,DZA,1968,7.67,Africa,3151.0,Islam,104.8493234
Algeria,DZA,1969,7.66,Africa,3355.0,Islam,104.8654842
Algeria,DZA,1970,7.64,Africa,3585.0,Islam,104.8799075
Algeria,DZA,1971,7.62,Africa,3188.0,Islam,104.89179979999999
Algeria,DZA,1972,7.6,Africa,3746.0,Islam,104.9075798
Algeria,DZA,1973,7.56,Africa,3757.0,Islam,104.896796
Algeria,DZA,1974,7.51,Africa,3870.0,Islam,104.87939479999999
Algeria,DZA,1975,7.43,Africa,4020.0,Islam,104.867024
Algeria,DZA,1976,7.34,Africa,4157.0,Islam,104.83578440000001
Algeria,DZA,1977,7.23,Africa,4398.0,Islam,104.8117369
Algeria,DZA,1978,7.11,Africa,4812.0,Islam,104.64200699999999
Algeria,DZA,1979,6.96,Africa,5088.0,Islam,104.55365259999999
Algeria,DZA,1980,6.79,Africa,5024.0,Islam,104.5276512
Algeria,DZA,1981,6.62,Africa,4991.0,Islam,104.5115228
Algeria,DZA,1982,6.43,Africa,5145.0,Islam,104.4638482
Algeria,DZA,1983,6.24,Africa,5243.0,Islam,104.464851
Algeria,DZA,1984,6.04,Africa,5361.0,Islam,104.4158537
Algeria,DZA,1985,5.84,Africa,5469.0,Islam,104.3641985
Algeria,DZA,1986,5.63,Africa,5262.0,Islam,104.3606795
Algeria,DZA,1987,5.41,Africa,5088.0,Islam,104.3563678
Algeria,DZA,1988,5.19,Africa,4850.0,Islam,104.30610490000001
Algeria,DZA,1989,4.96,Africa,4889.0,Islam,104.2558083
Algeria,DZA,1990,4.73,Africa,4697.0,Islam,104.2320744
Algeria,DZA,1991,4.48,Africa,4708.23,Islam,104.19917530000001
Algeria,DZA,1992,4.22,Africa,4850.22,Islam,104.2190813
Algeria,DZA,1993,3.96,Africa,4816.92,Islam,104.21754820000001
Algeria,DZA,1994,3.7,Africa,4856.99,Islam,104.2163204
Algeria,DZA,1995,3.45,Africa,5142.38,Islam,104.2072926
Algeria,DZA,1996,3.21,Africa,5451.63,Islam,104.18515079999999
Algeria,DZA,1997,2.99,Africa,5638.48,Islam,104.2796012
Algeria,DZA,1998,2.8,Africa,6069.78,Islam,104.3732813
Algeria,DZA,1999,2.64,Africa,6421.51,Islam,104.5407713
Algeria,DZA,2000,2.51,Africa,6834.55,Islam,104.7350668
Algeria,DZA,2001,2.44,Africa,7218.25,Islam,104.9068783
Algeria,DZA,2002,2.4,Africa,7814.84,Islam,105.02096409999999
Algeria,DZA,2003,2.41,Africa,8590.18,Islam,105.11705500000001
Algeria,DZA,2004,2.44,Africa,9182.29,Islam,105.1704288
Algeria,DZA,2005,2.5,Africa,9969.62,Islam,105.24172479999999
Algeria,DZA,2006,2.58,Africa,10385.78,Islam,105.17935829999999
Algeria,DZA,2007,2.66,Africa,10974.74,Islam,105.1373615
Algeria,DZA,2008,2.75,Africa,11475.0,Islam,105.08344579999999
Algeria,DZA,2009,2.83,Africa,11907.02,Islam,104.9804601
Algeria,DZA,2010,2.89,Africa,12587.74,Islam,104.8276313
Algeria,DZA,2011,2.93,Africa,13204.0,Islam,104.6726107
Algeria,DZA,2012,2.94,Africa,13379.0,Islam,104.6117665
Algeria,DZA,2013,2.92,Africa,13494.0,Islam,104.5851181
Algeria,DZA,2014,2.89,Africa,13744.0,Islam,104.49985500000001
Algeria,DZA,2015,2.84,Africa,14004.0,Islam,104.42868
Algeria,DZA,2016,2.78,Africa,14331.0,Islam,104.406299
Algeria,DZA,2017,2.71,Africa,14267.23,Islam,104.42826629999999
Algeria,DZA,2018,2.64,Africa,14228.03,Islam,
Algeria,DZA,2019,2.59,Africa,,Islam,
Angola,AGO,1950,7.11,Africa,1677.0,Christianity,102.9571177
Angola,AGO,1951,7.13,Africa,1715.0,Christianity,102.964424
Angola,AGO,1952,7.15,Africa,1755.0,Christianity,102.969785
Angola,AGO,1953,7.17,Africa,1795.0,Christianity,102.97153320000001
Angola,AGO,1954,7.2,Africa,1720.0,Christianity,102.96691340000001
Angola,AGO,1955,7.23,Africa,1830.0,Christianity,102.958898
Angola,AGO,1956,7.27,Africa,1769.0,Christianity,102.971396
Angola,AGO,1957,7.31,Africa,1908.0,Christianity,102.9727561
Angola,AGO,1958,7.36,Africa,1978.0,Christianity,102.9762309
Angola,AGO,1959,7.42,Africa,1953.0,Christianity,102.9763937
Angola,AGO,1960,7.48,Africa,1997.0,Christianity,102.98917
Angola,AGO,1961,7.52,Africa,2225.0,Christianity,102.990052
Angola,AGO,1962,7.56,Africa,2128.0,Christianity,102.9763368
Angola,AGO,1963,7.59,Africa,2200.0,Christianity,102.9726506
Angola,AGO,1964,7.61,Africa,2407.0,Christianity,102.9898077
Angola,AGO,1965,7.62,Africa,2544.0,Christianity,102.9816878
Angola,AGO,1966,7.62,Africa,2646.0,Christianity,102.98866590000002
Angola,AGO,1967,7.61,Africa,2753.0,Christianity,102.9806932
Angola,AGO,1968,7.61,Africa,2665.0,Christianity,102.9727834
Angola,AGO,1969,7.6,Africa,2695.0,Christianity,102.97432940000002
Angola,AGO,1970,7.6,Africa,2818.0,Christianity,102.97504140000001
Angola,AGO,1971,7.6,Africa,2754.0,Christianity,102.97289559999999
Angola,AGO,1972,7.61,Africa,2729.0,Christianity,102.97099859999999
Angola,AGO,1973,7.61,Africa,2852.0,Christianity,102.965525
Angola,AGO,1974,7.61,Africa,2727.0,Christianity,102.98489520000001
Angola,AGO,1975,7.62,Africa,1710.0,Christianity,102.9809369
Angola,AGO,1976,7.61,Africa,1521.0,Christianity,102.9869292
Angola,AGO,1977,7.59,Africa,1500.0,Christianity,102.9894623
Angola,AGO,1978,7.57,Africa,1530.0,Christianity,102.9957662
Angola,AGO,1979,7.54,Africa,1527.0,Christianity,102.9997218
Angola,AGO,1980,7.5,Africa,1532.0,Christianity,103.007724
Angola,AGO,1981,7.47,Africa,1471.0,Christianity,103.01409699999999
Angola,AGO,1982,7.44,Africa,1374.0,Christianity,103.0175963
Angola,AGO,1983,7.41,Africa,1288.0,Christianity,103.0254985
Angola,AGO,1984,7.39,Africa,1259.0,Christianity,103.0263755
Angola,AGO,1985,7.38,Africa,1242.0,Christianity,103.0434407
Angola,AGO,1986,7.37,Africa,1106.0,Christianity,103.0616859
Angola,AGO,1987,7.35,Africa,1211.0,Christianity,103.064892
Angola,AGO,1988,7.32,Africa,1360.0,Christianity,103.078406
Angola,AGO,1989,7.29,Africa,1360.0,Christianity,103.0912125
Angola,AGO,1990,7.25,Africa,1384.0,Christianity,103.10418620000002
Angola,AGO,1991,7.19,Africa,1437.15,Christianity,103.1144356
Angola,AGO,1992,7.13,Africa,1389.33,Christianity,103.12413470000001
Angola,AGO,1993,7.06,Africa,1080.48,Christianity,103.1419298
Angola,AGO,1994,6.99,Africa,1120.85,Christianity,103.1453635
Angola,AGO,1995,6.92,Africa,1319.16,Christianity,103.17424749999999
Angola,AGO,1996,6.85,Africa,1533.98,Christianity,103.1283844
Angola,AGO,1997,6.79,Africa,1687.32,Christianity,103.0982875
Angola,AGO,1998,6.73,Africa,1811.17,Christianity,103.0860903
Angola,AGO,1999,6.68,Africa,1899.42,Christianity,103.07989620000001
Angola,AGO,2000,6.64,Africa,2013.64,Christianity,103.0504058
Angola,AGO,2001,6.6,Africa,2162.49,Christianity,103.0403447
Angola,AGO,2002,6.57,Africa,2522.67,Christianity,103.0052984
Angola,AGO,2003,6.54,Africa,2711.93,Christianity,102.99434699999999
Angola,AGO,2004,6.5,Africa,3064.3,Christianity,102.9688286
Angola,AGO,2005,6.47,Africa,3708.77,Christianity,102.957426
Angola,AGO,2006,6.42,Africa,4592.34,Christianity,102.8919199
Angola,AGO,2007,6.37,Africa,5773.55,Christianity,102.84114100000001
Angola,AGO,2008,6.31,Africa,6743.75,Christianity,102.7943366
Angola,AGO,2009,6.24,Africa,7087.6,Christianity,102.7686912
Angola,AGO,2010,6.16,Africa,7520.67,Christianity,102.70574549999999
Angola,AGO,2011,6.08,Africa,8016.0,Christianity,102.6477942
Angola,AGO,2012,6.0,Africa,8190.0,Christianity,102.59527220000001
Angola,AGO,2013,5.92,Africa,8508.0,Christianity,102.6125552
Angola,AGO,2014,5.84,Africa,8673.0,Christianity,102.62075109999999
Angola,AGO,2015,5.77,Africa,8689.0,Christianity,102.64445140000001
Angola,AGO,2016,5.69,Africa,8453.0,Christianity,102.6571256
Angola,AGO,2017,5.62,Africa,8146.44,Christianity,102.6846314
Angola,AGO,2018,5.55,Africa,7771.44,Christianity,
Angola,AGO,2019,5.48,Africa,,Christianity,
Antigua and Barbuda,ATG,1950,4.45,North America,,Christianity,103.1644
Antigua and Barbuda,ATG,1951,4.46,North America,,Christianity,103.17369529999999
Antigua and Barbuda,ATG,1952,4.5,North America,,Christianity,103.1786875
Antigua and Barbuda,ATG,1953,4.52,North America,,Christianity,103.1575358
Antigua and Barbuda,ATG,1954,4.53,North America,,Christianity,103.1452147
Antigua and Barbuda,ATG,1955,4.53,North America,,Christianity,103.1568808
Antigua and Barbuda,ATG,1956,4.53,North America,,Christianity,103.15728409999998
Antigua and Barbuda,ATG,1957,4.51,North America,,Christianity,103.1464445
Antigua and Barbuda,ATG,1958,4.49,North America,,Christianity,103.1568249
Antigua and Barbuda,ATG,1959,4.46,North America,,Christianity,103.15318959999999
Antigua and Barbuda,ATG,1960,4.43,North America,,Christianity,103.156352
Antigua and Barbuda,ATG,1961,4.39,North America,,Christianity,103.1434282
Antigua and Barbuda,ATG,1962,4.34,North America,,Christianity,103.1399151
Antigua and Barbuda,ATG,1963,4.3,North America,,Christianity,103.1368089
Antigua and Barbuda,ATG,1964,4.25,North America,,Christianity,103.13603940000002
Antigua and Barbuda,ATG,1965,4.19,North America,,Christianity,103.12217700000001
Antigua and Barbuda,ATG,1966,4.13,North America,,Christianity,103.09850379999999
Antigua and Barbuda,ATG,1967,4.04,North America,,Christianity,103.0932849
Antigua and Barbuda,ATG,1968,3.94,North America,,Christianity,103.07035520000001
Antigua and Barbuda,ATG,1969,3.82,North America,,Christianity,103.066244
Antigua and Barbuda,ATG,1970,3.68,North America,,Christianity,103.0501573
Antigua and Barbuda,ATG,1971,3.52,North America,,Christianity,103.03452890000001
Antigua and Barbuda,ATG,1972,3.33,North America,,Christianity,103.0106574
Antigua and Barbuda,ATG,1973,3.12,North America,,Christianity,102.9927901
Antigua and Barbuda,ATG,1974,2.91,North America,,Christianity,102.9765008
Antigua and Barbuda,ATG,1975,2.7,North America,,Christianity,102.9542285
Antigua and Barbuda,ATG,1976,2.51,North America,,Christianity,102.97989670000001
Antigua and Barbuda,ATG,1977,2.36,North America,,Christianity,102.9970342
Antigua and Barbuda,ATG,1978,2.24,North America,,Christianity,102.9982022
Antigua and Barbuda,ATG,1979,2.16,North America,,Christianity,103.0054144
Antigua and Barbuda,ATG,1980,2.12,North America,,Christianity,103.0207511
Antigua and Barbuda,ATG,1981,2.1,North America,,Christianity,103.005912
Antigua and Barbuda,ATG,1982,2.1,North America,,Christianity,103.00478000000001
Antigua and Barbuda,ATG,1983,2.1,North America,,Christianity,102.9682717
Antigua and Barbuda,ATG,1984,2.1,North America,,Christianity,102.9030585
Antigua and Barbuda,ATG,1985,2.09,North America,,Christianity,102.90414870000001
Antigua and Barbuda,ATG,1986,2.08,North America,,Christianity,102.90296120000001
Antigua and Barbuda,ATG,1987,2.07,North America,,Christianity,102.8731548
Antigua and Barbuda,ATG,1988,2.06,North America,,Christianity,102.84959599999999
Antigua and Barbuda,ATG,1989,2.06,North America,,Christianity,102.82028509999999
Antigua and Barbuda,ATG,1990,2.06,North America,,Christianity,102.7763873
Antigua and Barbuda,ATG,1991,2.07,North America,,Christianity,102.75003709999999
Antigua and Barbuda,ATG,1992,2.1,North America,,Christianity,102.7265772
Antigua and Barbuda,ATG,1993,2.13,North America,,Christianity,102.704163
Antigua and Barbuda,ATG,1994,2.17,North America,,Christianity,102.7223743
Antigua and Barbuda,ATG,1995,2.21,North America,,Christianity,102.7224149
Antigua and Barbuda,ATG,1996,2.25,North America,,Christianity,102.7731283
Antigua and Barbuda,ATG,1997,2.28,North America,,Christianity,102.8180723
Antigua and Barbuda,ATG,1998,2.3,North America,,Christianity,102.8609512
Antigua and Barbuda,ATG,1999,2.32,North America,,Christianity,102.8795323
Antigua and Barbuda,ATG,2000,2.32,North America,,Christianity,102.9081236
Antigua and Barbuda,ATG,2001,2.31,North America,,Christianity,102.9328212
Antigua and Barbuda,ATG,2002,2.29,North America,,Christianity,102.96005720000001
Antigua and Barbuda,ATG,2003,2.27,North America,,Christianity,102.9839683
Antigua and Barbuda,ATG,2004,2.25,North America,,Christianity,103.00286940000001
Antigua and Barbuda,ATG,2005,2.22,North America,,Christianity,103.01415990000001
Antigua and Barbuda,ATG,2006,2.2,North America,,Christianity,103.04169329999999
Antigua and Barbuda,ATG,2007,2.18,North America,,Christianity,103.05278879999999
Antigua and Barbuda,ATG,2008,2.16,North America,,Christianity,103.06009770000001
Antigua and Barbuda,ATG,2009,2.15,North America,,Christianity,103.0774632
Antigua and Barbuda,ATG,2010,2.13,North America,,Christianity,103.0853018
Antigua and Barbuda,ATG,2011,2.12,North America,,Christianity,103.09902890000001
Antigua and Barbuda,ATG,2012,2.1,North America,,Christianity,103.11707879999999
Antigua and Barbuda,ATG,2013,2.09,North America,,Christianity,103.1296948
Antigua and Barbuda,ATG,2014,2.08,North America,,Christianity,103.14152990000001
Antigua and Barbuda,ATG,2015,2.06,North America,,Christianity,103.1371914
Antigua and Barbuda,ATG,2016,2.05,North America,,Christianity,103.1515645
Antigua and Barbuda,ATG,2017,2.04,North America,,Christianity,103.14985809999999
Antigua and Barbuda,ATG,2018,2.03,North America,,Christianity,
Antigua and Barbuda,ATG,2019,2.02,North America,,Christianity,
Argentina,ARG,1869,6.8,South America,,Christianity,
Argentina,ARG,1870,6.73,South America,2340.0,Christianity,
Argentina,ARG,1871,6.65,South America,,Christianity,
Argentina,ARG,1872,6.58,South America,,Christianity,
Argentina,ARG,1873,6.58,South America,,Christianity,
Argentina,ARG,1874,6.57,South America,,Christianity,
Argentina,ARG,1875,6.57,South America,2606.0,Christianity,
Argentina,ARG,1876,6.57,South America,2611.0,Christianity,
Argentina,ARG,1877,6.57,South America,2820.0,Christianity,
Argentina,ARG,1878,6.56,South America,2619.0,Christianity,
Argentina,ARG,1879,6.56,South America,2664.0,Christianity,
Argentina,ARG,1880,6.56,South America,2557.0,Christianity,
Argentina,ARG,1881,6.56,South America,2541.0,Christianity,
Argentina,ARG,1882,6.55,South America,3108.0,Christianity,
Argentina,ARG,1883,6.47,South America,3373.0,Christianity,
Argentina,ARG,1884,6.39,South America,3486.0,Christianity,
Argentina,ARG,1885,6.3,South America,3904.0,Christianity,
Argentina,ARG,1886,6.22,South America,3771.0,Christianity,
Argentina,ARG,1887,6.14,South America,3841.0,Christianity,
Argentina,ARG,1888,6.09,South America,4219.0,Christianity,
Argentina,ARG,1889,6.04,South America,4288.0,Christianity,
Argentina,ARG,1890,5.99,South America,3851.0,Christianity,
Argentina,ARG,1891,5.94,South America,3631.0,Christianity,
Argentina,ARG,1892,5.9,South America,4251.0,Christianity,
Argentina,ARG,1893,6.26,South America,4409.0,Christianity,
Argentina,ARG,1894,6.63,South America,4968.0,Christianity,
Argentina,ARG,1895,7.0,South America,5384.0,Christianity,
Argentina,ARG,1896,6.48,South America,5716.0,Christianity,
